id_hecho;fecha_hecho;periodo;partido;tipo;modalidad;barrio;arma;detenidos;victima_edad;victima_sexo;resultado;estado;notas
X17;2026-08-07;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;La Capital informa que el Ministerio de Seguridad bonaerense ratificó en el cargo al Comisario Mayor Cristian Fontana como jefe departamental, y anuncia cambios en el patrullaje: 15 patrulleros 0 km ya operativos, reorganización del Comando de Patrullas en zona norte y sur, y reasignación de personal de UTOI, Grupo de Apoyo Departamental, Policía Motorizada, Caballería e Infantería al patrullaje callejero. CONTRADICE A X10 EN SENTIDO INVERSO: el 5 de agosto cinco medios publicaron que Fontana había sido relevado y que quedaba interinamente Marta Analía Moya. Esta nota no menciona ni desmiente aquella remoción. La contradicción queda abierta.
M13;2026-08-06;2026-08;General Pueyrredon;robo_automotor;;Don Bosco;s/d;0;;M;consumado;confirmado;"Un exconcejal fue asaltado en Neuquén y Belgrano por seis delincuentes que le robaron su Toyota Hilux. La camioneta apareció abandonada en jurisdicción de la comisaría decimosegunda. Carátula: robo automotor agravado en poblado y en banda. La nota fecha el hecho el jueves 7 de agosto, pero el 7 fue viernes; se carga el jueves 6."
X18;2026-08-07;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;En la fiesta de San Cayetano, en el santuario de Moreno al 6700, el obispo diocesano Ernesto Giobando pidió en su homilía «paz en los barrios, ¡basta de violencia!» y sostuvo que «no cabe la violencia, ni el destrato, ni el odio, ni la venganza». No se mencionaron hechos ni víctimas concretas. La celebración reunió a miles de fieles y coincidió con los 70 años del santuario.
X19;2026-08-07;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;"Reorganización policial: el Comando de Patrullas se divide en dos usando la avenida Juan B. Justo como límite, con 60 cuadrículas cada uno. Comando Sur a cargo del comisario Claudio Cañete, con sede en Laprida y Tucumán; Comando Norte a cargo de la comisaria Daniela Alarcón, con sede en Libertad y Tandil. Las comisarías conservan los Gabinetes Técnico Operativos y la toma de denuncias. Cifras de dotación: unos 2.100 efectivos del área Seguridad en Mar del Plata, cerca de 480 licencias tramitadas y 1.620 operativos disponibles. La nota afirma textualmente que «el comisario mayor Cristian Fontana sigue al frente de la Jefatura Departamental»."
C13;2026-08-06;2026-08;General Pueyrredon;robo_comercio;mechera;Centro;;0;;F;consumado;confirmado;Local de indumentaria en Rivadavia 2833. Al menos tres mujeres simularon compras, generaron confusión entre las empleadas y escondieron jeans, chalecos y una campera en bolsos forrados con aluminio para evitar que se activaran las alarmas. Sin detenidos. La dueña señaló que algunas de las sospechosas ya eran conocidas entre comerciantes de la zona. La nota se publicó el 7 de agosto a las 13:45 y ubica el hecho alrededor de las 18:20, de modo que corresponde al día anterior.
R25;2026-08-08;2026-08;General Pueyrredon;reclamo_vecinal;;Don Bosco / San Juan;;;;;;confirmado;Vecinos de Don Bosco y San Juan convocaron por redes y grupos de WhatsApp a un cacerolazo para el sábado a las 20, en Misiones y Belgrano. «Estamos cansados. La inseguridad que estamos sufriendo en el barrio no da para más» y «entre todos tenemos que hacernos escuchar». Lo motivaron tres robos violentos de vehículos en menos de 48 horas en la zona, entre ellos el asalto a un exconcejal por seis delincuentes en Belgrano y Neuquén (ver M13).
M14;2026-08-07;2026-08;General Pueyrredon;robo_automotor;motochorro;Villa Lourdes;fuego;0;;F;consumado;confirmado;Irala al 4000, cerca del puerto, alrededor de las 20. Dos motochorros armados con pistola le robaron el auto a una mujer que viajaba con su nieta menor y el abuelo. Por los gritos de la mujer, el delincuente abrió la puerta trasera para que la nena y el abuelo bajaran antes de huir. Sin detenidos. Según la nota fue el tercer auto robado en la zona esa misma noche. Publicada el 8 a las 15:09 sobre un hecho de las 20, por lo que corresponde al día anterior.
M15;2026-08-07;2026-08;General Pueyrredon;robo_via_publica;;Regional;fuego;0;22;M;tentativa;en_investigacion;Un hombre de 22 años recibió un disparo en Remedios de Escalada y San Lorenzo, en ocasión de un intento de robo. Sin detenidos. Uno de los cuatro hechos violentos ocurridos entre las 21:15 del viernes y las 5 del sábado, agrupados por La Capital en una sola nota.
C14;2026-08-08;2026-08;General Pueyrredon;robo_comercio;forzamiento;Los Pinares;;0;;;consumado;confirmado;Grow shop de Carballo al 900, saqueado en la madrugada del sábado. Se llevaron electrodomésticos, insumos, herramientas y dinero: alrededor de 1.500.000 pesos en total, de los cuales 520.000 eran el efectivo del alquiler. Los dueños habían abierto un mes antes y decidieron cerrar. «La verdad que nos arruinaron. Ya decidimos cerrar el local, lamentablemente». Sin detenidos.
O07;2026-08-07;2026-08;General Pueyrredon;otro;;;blanca;0;26;M;consumado;en_investigacion;Un hombre de 26 años fue apuñalado en la espalda en la zona de San Martín y San Juan. Sin detenidos. Uno de los cuatro hechos violentos ocurridos entre las 21:15 del viernes y las 5 del sábado, agrupados por La Capital en una sola nota.
O08;2026-08-07;2026-08;General Pueyrredon;otro;;Regional;fuego;0;30;M;consumado;en_investigacion;Un hombre de 30 años recibió un disparo en una pierna en Juan B. Justo y Remedios de Escalada. Sin detenidos. Uno de los cuatro hechos violentos ocurridos entre las 21:15 del viernes y las 5 del sábado, agrupados por La Capital en una sola nota.
O09;2026-08-07;2026-08;General Pueyrredon;otro;;;blanca;0;33;M;consumado;en_investigacion;Un hombre de 33 años fue herido con arma blanca en Santa Cruz al 8700, posiblemente tras un enfrentamiento previo. Sin detenidos. Uno de los cuatro hechos violentos ocurridos entre las 21:15 del viernes y las 5 del sábado, agrupados por La Capital en una sola nota.
D12;2026-08-08;2026-08;General Pueyrredon;operativo;contravencion;;;2;;;;confirmado;Dos motociclistas de 26 y 20 años detenidos en Garay y Olavarría tras maniobras imprudentes e intento de fuga, ambos con alcoholemia positiva. Se secuestraron una Bajaj Rouser y una Motomel. Carátula: infracción al artículo 78 del Decreto-Ley 8031/73. Intervinieron el Comando de Patrullas y personal de Tránsito. Es una contravención, no un delito. Se incorpora porque el CeMAED también los cuenta juntos: su indicador principal es «delitos y contravenciones» y el 911 tiene la categoría Contraventores.
D13;2026-08-08;2026-08;General Pueyrredon;operativo;contravencion;;;1;;;;confirmado;Un hombre de 32 años fue hallado retenido por seguridad privada en un local de avenida Patricio Peralta Ramos al 1000, cerca de avenida Libertad y la costa. Al ser identificado insultó e intentó agredir físicamente a los policías. Sin heridos. Intervino el Comando de Patrullas, fue trasladado a la comisaría primera y el Juzgado Correccional dispuso su libertad.
X20;2026-08-09;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Se espera la llegada de entre 150 y 200 efectivos de fuerzas federales, con puesta operativa a partir del 1 de septiembre. Lo gestionó el intendente Agustín Neme. En paralelo el municipio informa 12 camionetas nuevas para la policía provincial y el mantenimiento de 1.383 cámaras de seguridad, con ofertas de 4.440 millones de pesos (Exanet) y 3.696 millones (Nec Argentina). El 10 de agosto se precisó el despliegue provincial: 170 efectivos, 50 patrulleros y 36 motos, ya operativos (ver X26). Los federales siguen previstos para el 1 de septiembre.
X21;2026-08-09;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;"Cruce institucional. Carlos Bianco, ministro de Gobierno bonaerense, acusa que la comuna no quiere trabajar con la Provincia. Eduardo Aparicio, subsecretario de Articulación Institucional del Ministerio de Seguridad, denuncia un abandono estructural del municipio. La diputada provincial Sofía Pomponio pide la renuncia del secretario de Seguridad municipal Rodrigo Goncálvez. Respuesta del municipio: los 3.080 millones se giraron en tres porciones, rindió las dos primeras y la tercera está pendiente; y sostiene tener 51 lectores de patente, no uno. La nota ratifica además que Cristian Fontana sigue como jefe departamental."
X22;2026-08-09;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Marcelo Saín, especialista en seguridad pública y ex ministro de Seguridad de Santa Fe: cuando hay un fortísimo deterioro económico y social crecen los delitos predatorios, y la política decidió hace muchísimos años darle el manejo de estas cosas a la policía. Sostiene que la policía de la mano dura es la misma que hoy pierde el control, y que el responsable que está todos los días ahí es el intendente. Propone transferir la conducción de la seguridad preventiva a los municipios y reconvertir la Bonaerense en lugar de crear una fuerza nueva. Menciona salarios policiales de 800 mil pesos y jornadas de 60 horas semanales.
X23;2026-08-09;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Vecinos de zona norte crearon el Mapa del Delito de Mar del Plata, una plataforma web donde se cargan hechos sufridos o presenciados. Los impulsores mantienen sus identidades en reserva. Buscan presentarlo ante el Defensor del Pueblo y que articule con autoridades municipales y provinciales. La nota no informa cuántos reportes tiene ni cómo se verifican: al 9 de agosto el sitio mostraba 47, con robo de vehículo como categoría más frecuente (16), y mezcla reportes de vecinos con transcripciones de notas periodísticas, siniestros viales y hechos de 2023 a 2026.
X24;2026-08-09;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Las ventas minoristas cayeron 7% interanual en julio, el peor registro del año, según la Unión del Comercio, la Industria y la Producción de Mar del Plata (UCIP). El 52,4% de los comerciantes dice que su situación empeoró respecto de 2025 y solo el 15,9% considera buenas sus utilidades. Blas Taladrid, presidente de la UCIP: las expectativas de mejora a un año son bajas y solo uno de cada diez comerciantes piensa invertir en el próximo semestre.
X25;2026-08-09;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;El desempleo en Mar del Plata llegó al 9,3% en el primer trimestre de 2026, 3,3 puntos más que un año atrás, contra un promedio nacional de 7,8%: es la quinta ciudad con mayor desempleo del país, unas 32.000 personas. Tasa de actividad 51,8% y subocupación 10,5%. Fuente: Informe Sociolaboral del Partido de General Pueyrredón, del Grupo Estudios del Trabajo (GrET), con datos de Eugenio Actis Di Pasquale y Marcos Esteban Gallo. Cubre el mismo trimestre que el informe del CeMAED.
C15;2026-08-09;2026-08;General Pueyrredon;robo_comercio;;Centro;;0;;;consumado;confirmado;Rivadavia al 2600, comercio de alimentos. Un joven aprovechó una distracción, tomó una botella de aceite de oliva de un litro y se retiró sin pagar. Quedó filmado por las cámaras. Sin detenidos. No es el mismo hecho que el de Rivadavia 2833: distinta dirección, distinto autor.
X26;2026-08-10;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;La Provincia anunció el despliegue de 170 efectivos, 50 patrulleros y 36 motos tácticas en Mar del Plata: 33 móviles para patrullamiento descentralizado y 17 para el Comando de Patrulla. Participan la Policía Local (UPPL General Pueyrredón), las Fuerzas de Operaciones Especiales, la Dirección de Cuerpos, Seguridad Vial, la Fuerza de Buenos Aires y Seguridad Rural. Ya están operativos. El municipio suma 12 patrulleros propios para la Bonaerense y 5 camionetas para la Patrulla Municipal, por 1.364.540.000 pesos. No reemplaza el anuncio de los 150 a 200 efectivos federales, que llegan a partir del 1 de septiembre: lo complementa. La nota vuelve a dar por ratificado a Cristian Fontana. El titular de la nota enmarca el anuncio como consecuencia directa del reclamo: «Tras los reclamos por seguridad». Se refiere a la marcha del miércoles 5 de agosto y a los incidentes en la Jefatura Departamental (ver R24), cinco días antes. Segunda cobertura, 0223: agrega un helicóptero, el móvil «H», y la participación de Policía Siniestral e Inteligencia además de las fuerzas ya listadas. El anuncio lo hizo Javier Alonso, ministro de Seguridad bonaerense. Confirma que los 12 patrulleros del municipio son cofinanciamiento.
D14;2026-08-10;2026-08;General Pueyrredon;operativo;;;;1;;M;;confirmado;Calle 58 entre 42 y 429 bis, alrededor de las 8:30. Un hombre de 24 años que cumplía monitoreo electrónico por infracción a la Ley 23.737 se arrancó la pulsera, la tiró a un descampado y escapó al enterarse de que se informaría al Servicio Penitenciario. Lo interceptaron a 50 metros. Carátula: daño y evasión. Juzgado de Garantías N° 4 y UFI a cargo de Ana Caro. Unidad Penal 44 de Batán.
O10;2026-08-10;2026-08;General Pueyrredon;otro;;Los Andes;blanca;1;;;consumado;confirmado;Avenida Colón al 5800, alrededor de las 13:50. Un hombre de 49 años fue a una gomería a reclamar la devolución de una rueda y, ante la negativa del dueño, insultó, pateó objetos, amenazó de muerte y de incendiar el local, y sacó del baúl de su auto un machete de unos 45 centímetros con el que siguió amenazando. No hubo robo: es un conflicto. Detenido y trasladado a la Unidad Penal 44. Carátula: amenazas agravadas.
O11;2026-08-10;2026-08;General Pueyrredon;robo_vivienda;forzamiento;;;1;;;tentativa;confirmado;En Almirante Brown, alrededor de las 2:50 de la madrugada. Un hombre de 26 años forzó el portón de una cochera y fue encontrado adentro por el Comando de Patrullas, cerca de la escalera al primer piso. No se registraron faltantes en los vehículos. Carátula: robo en grado de tentativa. Comisaría Segunda, UFI de Flagrancia a cargo de Ana Caro.
X27;2026-08-10;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;"Unos 90 trabajadores de la Clínica Mar del Plata iniciaron una retención de tareas porque solo cobraron la mitad del salario de julio; la empresa comunicó que pagaría el resto después del 24 de agosto. Interviene el Sindicato de Sanidad, ATSA. Es el segundo conflicto en pocas semanas: antes habían reclamado por el medio aguinaldo impago."
X28;2026-08-10;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;La empresa Toledo comunicó que no pagará antes del 18 de agosto el 60% del salario que adeuda a sus trabajadores. Reclaman el SECZA y el cuerpo de delegados, que siguen en estado de alerta y asambleas. Junto con el conflicto de la Clínica Mar del Plata, son dos casos de salarios impagos en la ciudad el mismo día.
M16;2026-08-10;2026-08;General Pueyrredon;robo_via_publica;;Nueve de Julio;;0;;M;consumado;confirmado;Grecia entre Luro y 25 de Mayo, alrededor de las 12:10. Tres delincuentes abordaron a un hombre mayor cuando bajaba de su auto y, tras un forcejeo, le robaron las llaves del vehículo. Sin detenidos. Quedó registrado por cámaras de seguridad. A plena luz del día.
D15;2026-08-10;2026-08;General Pueyrredon;operativo;;Centro;;1;;M;;confirmado;25 de Mayo y Jujuy. Un hombre de 53 años fue aprehendido por la Patrulla Municipal tras detectarle presuntas maniobras de intercambio con terceros. Le secuestraron 10 envoltorios de nylon con clorhidrato de cocaína, 3,83 gramos en total. Carátula: tenencia ilegal de estupefacientes. UFIJ de Estupefacientes a cargo de María Daniela Ledesma.
O12;2026-08-10;2026-08;General Pueyrredon;otro;;Jorge Newbery;;0;;;consumado;confirmado;Falucho y República Árabe Siria, ex 218, a las 4:24 de la madrugada del lunes. Un joven incendió deliberadamente una camioneta Renault Master y volvió a las 5 con cómplices a llevarse piezas quemadas del motor, aluminio y cobre. Amenazaron a los dueños: «metete adentro porque te voy a volar la cabeza». La policía llegó a las 11. Esa misma noche hubo un segundo caso igual en Brown entre 216 y 218. Sin detenidos. Los vecinos denuncian que les dijeron que no podían actuar porque no les pasan fondos para cargar nafta a los patrulleros.
M17;2026-08-11;2026-08;General Pueyrredon;robo_automotor;motochorro;El Grosellar;fuego;0;;F;consumado;confirmado;Zona norte, a las 7:45. Dos motochorros armados le robaron un Chevrolet Onix a una mujer estacionada frente a su casa. Escaparon hacia Camet. Quedó filmado por una cámara de seguridad y duró segundos. Sin heridos ni detenidos.
D16;2026-08-11;2026-08;General Pueyrredon;operativo;;Aeroparque;fuego;2;;;;confirmado;"Pelayo y Aragón, por la mañana, tras un llamado al 911. Dos aprehendidos de 20 y 30 años. Se secuestró una pistola Bersa modelo TPR calibre 9 mm con cinco municiones y un morral rojo. Al de 30 años se lo imputa por portación ilegal de arma de guerra y encubrimiento; el de 20 recuperó la libertad bajo caución. Intervino el Comando de Patrullas Norte, Juzgado Correccional N° 3 y la fiscal de Flagrancia Mariana Baqueiro."
D17;2026-08-11;2026-08;General Pueyrredon;operativo;;Punta Mogotes;;1;;;;confirmado;Allanamiento en Giacobini al 1500. Se recuperó un Ford Mondeo híbrido gris, sin patentes, robado el 21 de julio en avenida Avellaneda al 2900. Se pidió la detención del ocupante de la vivienda, de 40 años. Carátula: hurto automotor. Fiscal Eduardo Layus, de la Oficina de Delitos Contra la Propiedad Automotor.
O13;2026-08-11;2026-08;General Pueyrredon;otro;;Nuevo Golf;fuego;0;menor de edad;M;consumado;en_investigacion;Un menor de edad ingresó al HIGA a las 9:48 con una herida de arma de fuego en el lado izquierdo. No aportó datos sobre las circunstancias ni sobre el lugar del ataque.
O14;2026-08-11;2026-08;General Pueyrredon;otro;;;blanca;0;27;M;consumado;en_investigacion;Un hombre de 27 años ingresó al HIGA a las 21:34 con una herida de arma blanca en la espalda y se retiró sin recibir asistencia médica. No aportó datos sobre el ataque ni sobre dónde ocurrió.
X29;2026-08-11;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Despliegue policial con 50 patrulleros, 36 motos y 170 efectivos en distintos puntos de la ciudad, con controles, tareas de prevención y operativos cerrojo. Es la puesta en marcha del anuncio provincial del 10 de agosto. No se informaron oficialmente detalles sobre la cantidad de procedimientos, detenciones ni secuestros.
X30;2026-08-11;2026-08;General Pueyrredon;contexto;;;;;;;;confirmado;Trabajadores del exfrigorífico Sadowa reclaman indemnizaciones, feriados atrasados y vacaciones pendientes: 30 familias despedidas ahora y 15 empleados despedidos antes sin cobrar. Walter Verón, secretario gremial del Sindicato de la Carne de Mar del Plata, y Diego Molina, delegado: «son 30 familias que quedaron afuera, queremos soluciones porque venimos de mentira tras mentira». Denuncian promesas incumplidas del empresario Eugenio San Gregorio. Evalúan asamblea permanente y un posible corte de ruta tras la audiencia del viernes en el Ministerio de Trabajo.
X31;2026-08-11;2026-08;General Pueyrredon;contexto;;Regional;;0;67;M;;en_investigacion;"Perfil del conductor de aplicación asesinado en Villa La Palangana. La nota informa 67 años; la cobertura de la marcha del 5 de agosto había dicho 68, y la discrepancia queda sin resolver. Seguía manejando porque la jubilación no le alcanzaba: trabajaba nueve horas diarias sin francos. La investigación no tiene pista concreta ni detenidos; se trabaja sobre el auto, el teléfono y la documentación. Su hija sostiene que «para mí fue un homicidio en ocasión de robo» y pide testigos: «alguien tiene que hablar»."
